Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,360.0,1.0,360.0,360.0,0.0,585.7371159315381,585.7371159315381,0.0,0.0,,,,,,,,,,,,,,,,241.22528269941026,152.04550937071278,499.3954095693198,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,1371.0,2.0,1011.0,1371.0,0.0,2397.659939395253,2397.659939395253,0.0,68.42213463783264,,,,,,,,,,,,,,,,934.4325798447768,406.59238641400424,1454.4030041763558,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,1586.0,3.0,215.0,1586.0,0.0,356.81574323710294,356.81574323710294,0.0,83.0009560585022,,,,,,,,,,,,,,,,149.84597044761634,104.06912953485542,324.9237833742398,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,1765.0,4.0,179.0,1765.0,0.0,273.3255483446268,273.3255483446268,0.0,95.53369545936584,,,,,,,,,,,,,,,,111.3821080915925,80.98470500494665,253.64179278902097,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,1829.0,5.0,64.0,1829.0,0.0,59.06669420131977,59.06669420131977,0.0,100.29445362091064,,,,,,,,,,,,,,,,18.1948465864199,18.60867728241428,57.960184203992895,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,2957.0,6.0,1128.0,2957.0,0.0,2786.074200612549,2786.074200612549,0.0,176.63310050964355,,,,,,,,,,,,,,,,1076.9080569474847,447.94931780483455,1573.2498755008369,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,3972.0,7.0,1015.0,3972.0,0.0,2458.2751701588422,2458.2751701588422,0.0,245.2217025756836,,,,,,,,,,,,,,,,975.4074210591548,413.888865000025,1469.706344127928,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,4568.0,8.0,596.0,4568.0,0.0,1125.2946507715087,1125.2946507715087,0.0,285.445374250412,,,,,,,,,,,,,,,,445.3239048699977,265.9853201522716,860.7423458148053,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,5559.0,9.0,991.0,5559.0,0.0,2491.8108447347026,2491.8108447347026,0.0,352.50066804885864,,,,,,,,,,,,,,,,1010.4017139168914,432.3165394859656,1491.994740984046,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,6564.0,10.0,1005.0,6564.0,0.0,2479.7835044371323,2479.7835044371323,0.0,420.05220890045166,,,,,,,,,,,,,,,,1008.334061671975,409.6446658101074,1467.8756481049047,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
