Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,99.0,1.0,99.0,99.0,0.0,43.18325937513767,43.18325937513767,0.0,0.0,,,,,,,,,,,,,,,,12.918319664437792,14.110726260757795,41.94629202037872,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,232.0,2.0,133.0,232.0,0.0,60.83748180294955,60.83748180294955,0.0,9.446403980255127,,,,,,,,,,,,,,,,18.447049280819414,19.54165161680157,58.442466715315845,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,350.0,3.0,118.0,350.0,0.0,64.52031189096643,64.52031189096643,0.0,17.78868818283081,,,,,,,,,,,,,,,,24.68017791785545,20.891275919709575,61.669720617276724,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,423.0,4.0,73.0,423.0,0.0,39.28817868778836,39.28817868778836,0.0,23.299762725830078,,,,,,,,,,,,,,,,14.61495709000887,12.996692008724681,38.25954636658433,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,469.0,5.0,46.0,469.0,0.0,16.90346271588635,16.90346271588635,0.0,26.76852822303772,,,,,,,,,,,,,,,,4.952136379022451,5.693200844661951,16.692356799250575,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,528.0,6.0,59.0,528.0,0.0,27.68708846195053,27.68708846195053,0.0,31.222926378250122,,,,,,,,,,,,,,,,9.741616027943008,9.32746951159523,27.13947258889079,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,590.0,7.0,62.0,590.0,0.0,24.969045265022093,24.969045265022093,0.0,35.782050371170044,,,,,,,,,,,,,,,,7.494802076765459,8.142770020311502,24.528896432695326,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,668.0,8.0,78.0,668.0,0.0,31.712823649032096,31.712823649032096,0.0,41.55305218696594,,,,,,,,,,,,,,,,9.489502647678297,10.559637481887057,31.003646088601794,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,742.0,9.0,74.0,742.0,0.0,36.72572830491729,36.72572830491729,0.0,47.08458685874939,,,,,,,,,,,,,,,,12.647139143414508,12.059080346699258,35.82566567397861,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,809.0,10.0,67.0,809.0,0.0,31.22801149529783,31.22801149529783,0.0,51.996442556381226,,,,,,,,,,,,,,,,10.262315182832921,10.258561155579887,30.571007385433454,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,926.0,11.0,117.0,926.0,0.0,74.96413992363526,74.96413992363526,0.0,60.307236194610596,,,,,,,,,,,,,,,,31.818225972815664,23.615360154805938,71.31272020502087,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,1018.0,12.0,92.0,1018.0,0.0,41.1370381210325,41.1370381210325,0.0,67.22711062431335,,,,,,,,,,,,,,,,12.061094112061767,13.275248874171908,40.06748494767047,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,1174.0,13.0,156.0,1174.0,0.0,98.21855454126124,98.21855454126124,0.0,78.09412431716919,,,,,,,,,,,,,,,,40.008961886623105,29.87592605227795,92.06922571266067,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,1256.0,14.0,82.0,1256.0,0.0,45.06392973709193,45.06392973709193,0.0,84.20700764656067,,,,,,,,,,,,,,,,18.184551845472203,14.62574530210847,43.61641289866189,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,1321.0,15.0,65.0,1321.0,0.0,28.497047988429227,28.497047988429227,0.0,89.00084400177002,,,,,,,,,,,,,,,,8.226052296216883,9.052833554565511,27.990344934109253,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,1425.0,16.0,104.0,1425.0,0.0,52.33355679727596,52.33355679727596,0.0,96.42606258392334,,,,,,,,,,,,,,,,17.90153234519527,17.13702126138763,50.52231975312876,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,1591.0,17.0,166.0,1591.0,0.0,109.91745779020621,109.91745779020621,0.0,107.96957325935364,,,,,,,,,,,,,,,,48.51583423636608,32.794305359854356,101.96579510207152,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,1700.0,18.0,109.0,1700.0,0.0,65.2988003627307,65.2988003627307,0.0,115.77700304985046,,,,,,,,,,,,,,,,27.39963342251775,20.690172974547096,62.37461493461087,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,1745.0,19.0,45.0,1745.0,0.0,16.686769268363086,16.686769268363086,0.0,119.20494818687439,,,,,,,,,,,,,,,,4.004325332849858,5.319558564261325,16.523097726110958,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
