Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,534.0,1.0,534.0,534.0,0.0,458.26682487753123,458.26682487753123,0.0,0.0,,,,,,,,,,,,,,,,144.6800170464021,71.91649323033238,228.01060001838226,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,990.0,2.0,456.0,990.0,0.0,373.4978124249605,373.4978124249605,0.0,30.898954153060913,,,,,,,,,,,,,,,,122.7411300217947,65.25822427121743,206.20656625390703,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,1423.0,3.0,433.0,1423.0,0.0,341.72188566192574,341.72188566192574,0.0,60.542447090148926,,,,,,,,,,,,,,,,112.47987613279643,61.508016176556225,196.19912393723484,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,1866.0,4.0,443.0,1866.0,0.0,335.4644070284314,335.4644070284314,0.0,90.58425283432007,,,,,,,,,,,,,,,,111.31490997991767,60.76906441729199,188.3735815431565,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,1977.0,5.0,111.0,1977.0,0.0,67.23776762818243,67.23776762818243,0.0,98.38757300376892,,,,,,,,,,,,,,,,25.534047114441474,20.18718169187822,58.91166493387505,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,2247.0,6.0,270.0,2247.0,0.0,187.69439288421876,187.69439288421876,0.0,116.96691966056824,,,,,,,,,,,,,,,,69.85120969606328,42.58251083077393,131.50944135447085,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,2529.0,7.0,282.0,2529.0,0.0,181.98689815634057,181.98689815634057,0.0,136.35438179969788,,,,,,,,,,,,,,,,65.47719441445733,42.10794413876421,126.97411402378104,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,2698.0,8.0,169.0,2698.0,0.0,111.6362554565541,111.6362554565541,0.0,148.40281796455383,,,,,,,,,,,,,,,,41.96262319677963,28.950850732822207,90.63310481021745,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,2785.0,9.0,87.0,2785.0,0.0,48.17434889472369,48.17434889472369,0.0,154.68750095367432,,,,,,,,,,,,,,,,18.15579200008949,14.824726096263943,43.56638634172547,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,2859.0,10.0,74.0,2859.0,0.0,37.53262634050541,37.53262634050541,0.0,160.10834050178528,,,,,,,,,,,,,,,,11.46608089434246,11.640186158609215,35.09243368301042,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
