Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,271.0,1.0,271.0,271.0,0.0,486.73564758912806,486.73564758912806,0.0,0.0,,,,,,,,,,,,,,,,206.30239919005655,136.19132416962685,431.2589563649874,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,545.0,2.0,274.0,545.0,0.0,452.19394825057503,452.19394825057503,0.0,18.785707235336304,,,,,,,,,,,,,,,,185.84306288676257,125.94965835528012,401.67462364324547,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,721.0,3.0,176.0,721.0,0.0,257.32441295839106,257.32441295839106,0.0,30.93323302268982,,,,,,,,,,,,,,,,103.55208404915096,73.16633218051057,239.33858475049098,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,916.0,4.0,195.0,916.0,0.0,311.89849934483647,311.89849934483647,0.0,44.362844944000244,,,,,,,,,,,,,,,,130.22325314146372,90.80289083077831,286.7917567389902,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,970.0,5.0,54.0,970.0,0.0,44.91967363718659,44.91967363718659,0.0,48.37433314323425,,,,,,,,,,,,,,,,12.507781243197543,14.334251246552899,44.288541992046,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,1038.0,6.0,68.0,1038.0,0.0,58.89791341443408,58.89791341443408,0.0,53.36020040512085,,,,,,,,,,,,,,,,17.27271067169326,18.21149285955907,57.78115023899797,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,1098.0,7.0,60.0,1098.0,0.0,55.14975159249644,55.14975159249644,0.0,57.8154661655426,,,,,,,,,,,,,,,,14.975421679220917,17.391144592666762,54.30553182356677,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,1247.0,8.0,149.0,1247.0,0.0,182.0516905645524,182.0516905645524,0.0,68.2567024230957,,,,,,,,,,,,,,,,75.98533681561099,55.38222210692208,170.90077615518157,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,1612.0,9.0,365.0,1612.0,0.0,633.8855254323586,633.8855254323586,0.0,93.12822651863098,,,,,,,,,,,,,,,,273.89539881761357,165.87108642039163,534.4481530169472,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,1918.0,10.0,306.0,1918.0,0.0,550.2864130745712,550.2864130745712,0.0,114.08960676193237,,,,,,,,,,,,,,,,237.39366172932708,148.19004456178388,478.1220746600576,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
