Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,526.0,1.0,526.0,526.0,0.0,360.0578000099998,360.0578000099998,0.0,0.0,,,,,,,,,,,,,,,,5.999314386898612,2.24546700832576,8.571127435974216,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,999.0,2.0,473.0,999.0,0.0,325.5221000099997,325.5221000099997,0.0,32.022451877593994,,,,,,,,,,,,,,,,6.049551339174928,1.7037213012202448,8.518693325532585,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,1188.0,3.0,189.0,1188.0,0.0,133.5194000100001,133.5194000100001,0.0,45.1038134098053,,,,,,,,,,,,,,,,5.963052186439735,2.4203769581664396,8.830513927726146,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,1378.0,4.0,190.0,1378.0,0.0,104.5520000100001,104.5520000100001,0.0,58.422630310058594,,,,,,,,,,,,,,,,4.629126755847159,2.838352417413084,8.260162901249567,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,2067.0,5.0,689.0,2067.0,0.0,516.0241000099996,516.0241000099996,0.0,105.15004682540894,,,,,,,,,,,,,,,,6.611698175076825,1.5289224393437892,8.476025941917314,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,2375.0,6.0,308.0,2375.0,0.0,205.03280001000024,205.03280001000024,0.0,126.117990732193,,,,,,,,,,,,,,,,5.778642649967497,2.2391714041790545,7.783916911198589,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,3498.0,7.0,1123.0,3498.0,0.0,800.1154999999995,800.1154999999995,0.0,202.01737809181213,,,,,,,,,,,,,,,,6.317501232446252,1.6506841360957512,8.765739304503494,0.016031114155678376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,4488.0,8.0,990.0,4488.0,0.0,754.5753000099995,754.5753000099995,0.0,268.67661595344543,,,,,,,,,,,,,,,,6.74359216818654,1.2907072544473628,8.797861764869403,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,5284.0,9.0,796.0,5284.0,0.0,476.16485001000035,476.16485001000035,0.0,323.07511591911316,,,,,,,,,,,,,,,,5.277822405765874,2.805123105915914,8.426491493280631,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,5364.0,10.0,80.0,5364.0,0.0,39.02600000999996,39.02600000999996,0.0,328.5999891757965,,,,,,,,,,,,,,,,3.5809811219107006,2.9368117591855114,7.815776078468608,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,5740.0,11.0,376.0,5740.0,0.0,273.52310000999967,273.52310000999967,0.0,354.4954113960266,,,,,,,,,,,,,,,,6.341555959855885,1.9226977911937135,8.267983939125632,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,6436.0,12.0,696.0,6436.0,0.0,510.05660000999944,510.05660000999944,0.0,401.3992397785187,,,,,,,,,,,,,,,,6.464404322349825,2.0130474242144736,8.555738670301325,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,7416.0,13.0,980.0,7416.0,0.0,764.4,764.4,0.0,467.61041951179504,,,,,,,,,,,,,,,,6.90122587783453,0.741959077608143,8.632108464298847,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,7530.0,14.0,114.0,7530.0,0.0,71.51750001000006,71.51750001000006,0.0,475.5428955554962,,,,,,,,,,,,,,,,5.14588497242717,2.480392435158451,7.442755763619757,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,8147.0,15.0,617.0,8147.0,0.0,432.07145001000004,432.07145001000004,0.0,517.44895362854,,,,,,,,,,,,,,,,6.155857959019048,2.3311963966654874,8.637510914444695,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,8950.0,16.0,803.0,8950.0,0.0,579.0519000099995,579.0519000099995,0.0,571.7135894298553,,,,,,,,,,,,,,,,6.358405788336671,1.8380243986886917,8.770915799549725,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,9043.0,17.0,93.0,9043.0,0.0,57.515500009999975,57.515500009999975,0.0,578.256609916687,,,,,,,,,,,,,,,,4.958240549883482,2.649285688470129,7.598189436712049,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,9700.0,18.0,657.0,9700.0,0.0,494.02285000999973,494.02285000999973,0.0,622.8507027626038,,,,,,,,,,,,,,,,6.629765839100012,1.6661235233425162,8.624520174414952,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.0,0.0,0.0,0.0,46.0,9746.0,0.0,20.51850001000002,20.51850001000002,0.0,1177.0464508533478,,,,0.8563296,1.3270084,4.823035,0.28110158,,,,,17.974575,23.188997,289.5925,4.0866914,2.899610527589257,2.8631140222722613,7.389925525385089,1e-08,1.9319366,0.0,1.9319366,1.9319366,3.4994922344022994e-16,1.0,2.629734654503456,-2.0370253407671264,92.34691,35.271065,145.499,-2.0235975,1.0017915,1.2787377,4.8267074,0.45433977,-0.1262691,0.049631126,0.01530443,-0.15391894,30.35876991025735,11.140151377882718,46.09000306536474,-0.475176261495011,0.06681253,0.0,0.06681253,0.06681253,0.9781991,0.3910274,12.631502,0.004645899,0.97064865,0.1774624,1.2,0.8
20,1.0,0.0,376.0,1.0,376.0,10122.0,0.0,265.53415000999973,265.53415000999973,0.0,1207.1003201007843,,,,,,,,,,,,,,,,6.162774261242067,2.0730822894546743,8.60660760549458,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,1209.0,2.0,833.0,10955.0,0.0,519.599100009999,519.599100009999,0.0,1263.5379645824432,,,,,,,,,,,,,,,,5.514598622665051,2.6338306121003785,8.776138860908956,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,1443.0,3.0,234.0,11189.0,0.0,165.5194000100001,165.5194000100001,0.0,1279.4743945598602,,,,,,,,,,,,,,,,6.055421655375804,2.12751318236418,8.228173060457252,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,1605.0,4.0,162.0,11351.0,0.0,107.02020001000007,107.02020001000007,0.0,1290.7834527492523,,,,,,,,,,,,,,,,5.5336901632867,2.4493742109192205,7.8889583477660015,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,1953.0,5.0,348.0,11699.0,0.0,249.52210001000014,249.52210001000014,0.0,1314.5508313179016,,,,,,,,,,,,,,,,6.238471979675185,1.9202509609122824,8.104771422026138,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,2228.0,6.0,275.0,11974.0,0.0,174.53650001000022,174.53650001000022,0.0,1333.4084548950195,,,,,,,,,,,,,,,,5.485123097226728,2.4412932621016323,7.963263335829839,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,2481.0,7.0,253.0,12227.0,0.0,163.03435001000022,163.03435001000022,0.0,1350.7704989910126,,,,,,,,,,,,,,,,5.573070494888579,2.4615766511023196,8.325693631252834,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,2702.0,8.0,221.0,12448.0,0.0,145.52675001000017,145.52675001000017,0.0,1366.028957605362,,,,,,,,,,,,,,,,5.619417107531537,2.396708324022817,8.16350468583331,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,2817.0,9.0,115.0,12563.0,0.0,68.02015001000007,68.02015001000007,0.0,1374.4090547561646,,,,,,,,,,,,,,,,4.923418913686253,2.782342086101447,7.886184739798776,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,2910.0,10.0,93.0,12656.0,0.0,44.530750009999956,44.530750009999956,0.0,1381.065227985382,,,,,,,,,,,,,,,,3.6899748518098767,2.9627593764236573,7.508564241212767,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,3386.0,11.0,476.0,13132.0,0.0,325.05390000999995,325.05390000999995,0.0,1413.4451615810394,,,,,,,,,,,,,,,,5.981982291600916,2.1954921925755393,8.340173356045177,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,3658.0,12.0,272.0,13404.0,0.0,192.01950001000012,192.01950001000012,0.0,1432.047067642212,,,,,,,,,,,,,,,,6.098402151403599,1.9787804303545466,8.049712215605338,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,3839.0,13.0,181.0,13585.0,0.0,126.01740001000006,126.01740001000006,0.0,1444.5790708065033,,,,,,,,,,,,,,,,5.917016215541223,2.283475111401065,8.409095787083412,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,4423.0,14.0,584.0,14169.0,0.0,361.6088500099986,361.6088500099986,0.0,1484.294893503189,,,,,,,,,,,,,,,,5.4317493755708055,2.789697907686114,8.499002837145694,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,4615.0,15.0,192.0,14361.0,0.0,130.02205001000013,130.02205001000013,0.0,1497.5111939907074,,,,,,,,,,,,,,,,5.768544941127658,2.3977548536598996,7.863727730807492,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,4797.0,16.0,182.0,14543.0,0.0,75.08165001000012,75.08165001000012,0.0,1510.3736157417297,,,,,,,,,,,,,,,,3.3546525792530644,3.53482629639786,8.496984634504111,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,5771.0,17.0,974.0,15517.0,0.0,643.123700009999,643.123700009999,0.0,1576.4035007953644,,,,,,,,,,,,,,,,5.835719450541617,2.2503806996594853,8.651587355793597,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,6265.0,18.0,494.0,16011.0,0.0,361.98020000999935,361.98020000999935,0.0,1610.067726135254,,,,,,,,,,,,,,,,6.429920196760723,1.7795316674712696,8.39975561188092,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,6304.0,19.0,39.0,16050.0,0.0,17.515600010000018,17.515600010000018,0.0,1613.108475446701,,,,,,,,,,,,,,,,2.578806570513022,2.57160932709323,7.039834358107117,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
