Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,306.0,1.0,306.0,306.0,0.0,242.82618524514797,242.82618524514797,0.0,0.0,,,,,,,,,,,,,,,,105.94294762737321,65.17219886455774,210.61826153270457,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,589.0,2.0,283.0,589.0,0.0,221.55562551955072,221.55562551955072,0.0,19.472614526748657,,,,,,,,,,,,,,,,98.29627750778985,62.04679620275419,193.93171069554185,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,808.0,3.0,219.0,808.0,0.0,163.0652053749321,163.0652053749321,0.0,34.53304862976074,,,,,,,,,,,,,,,,69.00569606322915,45.290115150295314,148.101058996081,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,988.0,4.0,180.0,988.0,0.0,122.96474971667386,122.96474971667386,0.0,47.00281095504761,,,,,,,,,,,,,,,,52.21200240042964,36.4805219745402,113.68026955415078,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,1300.0,5.0,312.0,1300.0,0.0,231.8548334065833,231.8548334065833,0.0,68.30824756622314,,,,,,,,,,,,,,,,101.5580026311678,63.428309269986336,200.36910569135043,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,1555.0,6.0,255.0,1555.0,0.0,179.97592331220588,179.97592331220588,0.0,85.9302728176117,,,,,,,,,,,,,,,,80.20794179742293,49.45404212507171,159.68258073459776,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,1755.0,7.0,200.0,1755.0,0.0,142.7278038080328,142.7278038080328,0.0,99.76740956306458,,,,,,,,,,,,,,,,62.4292256862865,42.32182422916978,130.3723310017774,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,1936.0,8.0,181.0,1936.0,0.0,122.15523394198394,122.15523394198394,0.0,112.35379457473755,,,,,,,,,,,,,,,,50.198661671990614,36.61422581718857,113.18245863799163,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,2043.0,9.0,107.0,2043.0,0.0,59.16557303797535,59.16557303797535,0.0,119.92137479782104,,,,,,,,,,,,,,,,23.247444882681968,18.94497497801411,56.73483126679516,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,2120.0,10.0,77.0,2120.0,0.0,38.12829451569253,38.12829451569253,0.0,125.76524066925049,,,,,,,,,,,,,,,,13.662079726744219,12.462063813382194,37.11342780453777,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,2398.0,11.0,278.0,2398.0,0.0,208.2239208901534,208.2239208901534,0.0,144.84755206108093,,,,,,,,,,,,,,,,89.10957319194812,57.85109660799407,183.63509463742943,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,2798.0,12.0,400.0,2798.0,0.0,317.19763869243315,317.19763869243315,0.0,172.6017963886261,,,,,,,,,,,,,,,,140.74893497989476,81.24755104161746,261.1592239243995,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,3529.0,13.0,731.0,3529.0,0.0,687.8516614042518,687.8516614042518,0.0,222.08470749855042,,,,,,,,,,,,,,,,288.74114764124,146.42013069883282,477.2591416201263,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,3664.0,14.0,135.0,3664.0,0.0,74.0677557079658,74.0677557079658,0.0,231.53685855865479,,,,,,,,,,,,,,,,29.70880125216351,22.77083618423378,70.12719473365742,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,3915.0,15.0,251.0,3915.0,0.0,181.2301055254756,181.2301055254756,0.0,248.74421501159668,,,,,,,,,,,,,,,,80.72887029004636,50.27549641216105,161.12828737004395,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,4431.0,16.0,516.0,4431.0,0.0,425.2372344762583,425.2372344762583,0.0,283.83772134780884,,,,,,,,,,,,,,,,178.11236455657203,105.02091967542343,333.66491928435175,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,4939.0,17.0,508.0,4939.0,0.0,451.79509099063694,451.79509099063694,0.0,318.4483664035797,,,,,,,,,,,,,,,,199.4274969239518,107.58703905120011,350.83675931258244,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,5036.0,18.0,97.0,5036.0,0.0,54.670461982618534,54.670461982618534,0.0,325.29141187667847,,,,,,,,,,,,,,,,22.587366318713904,17.61406964232558,52.532019469172454,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,5080.0,19.0,44.0,5080.0,0.0,16.38788557190726,16.38788557190726,0.0,328.71287989616394,,,,,,,,,,,,,,,,4.806263718413401,5.666243602593129,16.192602570867937,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,5535.0,20.0,455.0,5535.0,0.0,373.572314915232,373.572314915232,0.0,359.6691925525665,,,,,,,,,,,,,,,,157.97335392955787,94.32619224731702,301.9964353125959,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,335.0,1.0,335.0,5870.0,0.0,259.54738705885455,259.54738705885455,0.0,754.5256063938141,,,,,,,,,,,,,,,,113.04813025290056,69.84739895795248,221.89816158571813,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,637.0,2.0,302.0,6172.0,0.0,230.5807391679909,230.5807391679909,0.0,775.4065630435944,,,,,,,,,,,,,,,,97.10312095313421,63.748771951008294,201.45705369383853,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,908.0,3.0,271.0,6443.0,0.0,194.68429015495252,194.68429015495252,0.0,794.0587742328644,,,,,,,,,,,,,,,,82.8564036381735,51.091976774362514,172.40260737638414,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,1625.0,4.0,717.0,7160.0,0.0,608.93089684379,608.93089684379,0.0,842.6001214981079,,,,,,,,,,,,,,,,256.5085453354581,124.1812945611399,425.43970954781463,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,1758.0,5.0,133.0,7293.0,0.0,82.47441547839085,82.47441547839085,0.0,852.3676533699036,,,,,,,,,,,,,,,,34.42607317453155,25.45282754827697,77.97372146764582,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,2054.0,6.0,296.0,7589.0,0.0,216.00225970443176,216.00225970443176,0.0,872.6619639396667,,,,,,,,,,,,,,,,95.43578583017528,60.7898965355809,187.94120830700697,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,2771.0,7.0,717.0,8306.0,0.0,593.8279455946877,593.8279455946877,0.0,921.1919739246368,,,,,,,,,,,,,,,,236.1698127813694,135.17250350557308,424.91910893938433,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,2974.0,8.0,203.0,8509.0,0.0,136.768949895384,136.768949895384,0.0,935.5683145523071,,,,,,,,,,,,,,,,55.798798675435705,39.42320098646993,125.56736112539602,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,3079.0,9.0,105.0,8614.0,0.0,56.545773513076966,56.545773513076966,0.0,943.0447497367859,,,,,,,,,,,,,,,,18.36346639885338,17.93968656432278,54.67228182302038,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,3391.0,10.0,312.0,8926.0,0.0,166.60337766371612,166.60337766371612,0.0,964.5589876174927,,,,,,,,,,,,,,,,83.37669634728466,43.24231009907116,140.7305789823457,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,3723.0,11.0,332.0,9258.0,0.0,246.12143799020265,246.12143799020265,0.0,987.2926054000854,,,,,,,,,,,,,,,,101.48813476383462,67.81823982140924,212.64001726587546,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,3965.0,12.0,242.0,9500.0,0.0,173.6050268369902,173.6050268369902,0.0,1003.9419648647308,,,,,,,,,,,,,,,,74.67154108216388,49.70363495605754,155.69020409920563,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,4897.0,13.0,932.0,10432.0,0.0,865.3507202945577,865.3507202945577,0.0,1066.9631297588348,,,,,,,,,,,,,,,,354.40886202513764,168.21781289450905,535.5772381252544,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,5004.0,14.0,107.0,10539.0,0.0,63.7991524686572,63.7991524686572,0.0,1074.4116055965424,,,,,,,,,,,,,,,,26.335978191599043,19.831473614715772,61.042245047203345,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,5610.0,15.0,606.0,11145.0,0.0,551.3769072541053,551.3769072541053,0.0,1115.5682544708252,,,,,,,,,,,,,,,,237.52340675653335,127.63374876122344,407.8502897194083,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,5715.0,16.0,105.0,11250.0,0.0,64.46003271591958,64.46003271591958,0.0,1122.973478794098,,,,,,,,,,,,,,,,24.01105035805759,20.730444176208522,62.00087330162516,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,5973.0,17.0,258.0,11508.0,0.0,170.7010416677336,170.7010416677336,0.0,1140.967677116394,,,,,,,,,,,,,,,,68.36843492846936,50.53154837710533,153.2152006568455,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,6439.0,18.0,466.0,11974.0,0.0,385.8268987212397,385.8268987212397,0.0,1172.6561691761017,,,,,,,,,,,,,,,,164.33641847495858,96.71471156315724,309.55568339530447,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,6481.0,19.0,42.0,12016.0,0.0,15.76215582818162,15.76215582818162,0.0,1175.8382411003113,,,,,,,,,,,,,,,,4.6484140888377325,5.39419519541213,15.582504941391838,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,6872.0,20.0,391.0,12407.0,0.0,317.71663291122036,317.71663291122036,0.0,1202.45468211174,,,,,,,,,,,,,,,,137.3976530466821,80.94472413859907,264.25840897894705,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
