Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
23,1.0,0.0,540.0,3.0,165.0,2281.0,0.0,77.35054936178258,77.35054936178258,0.0,268.67159485816956,,,,,,,,,,,,,,,,29.970625340980682,22.177261065173298,72.4778740545753,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,648.0,4.0,108.0,2389.0,0.0,56.67717366100391,56.67717366100391,0.0,276.4153208732605,,,,,,,,,,,,,,,,16.63128852077117,18.413009871017234,54.935930431191814,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,706.0,5.0,58.0,2447.0,0.0,21.087587156412166,21.087587156412166,0.0,280.6955797672272,,,,,,,,,,,,,,,,5.008347934112343,6.5617446081696436,20.817920897130776,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,773.0,6.0,67.0,2514.0,0.0,25.730537643890024,25.730537643890024,0.0,285.663001537323,,,,,,,,,,,,,,,,6.052481496342981,7.841433531862011,25.35037175539043,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,826.0,7.0,53.0,2567.0,0.0,18.463084804931555,18.463084804931555,0.0,289.6242654323578,,,,,,,,,,,,,,,,3.946649531166476,5.564562843240112,18.272184564344045,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,1031.0,8.0,205.0,2772.0,0.0,41.03030122727491,41.03030122727491,0.0,303.8540630340576,,,,,,,,,,,,,,,,16.795327503091976,9.067900127405869,37.62488397311421,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,1112.0,9.0,81.0,2853.0,0.0,41.36657791588631,41.36657791588631,0.0,309.66924142837524,,,,,,,,,,,,,,,,12.52043406035242,13.341340558682784,40.392815572570356,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,1175.0,10.0,63.0,2916.0,0.0,23.43156841860448,23.43156841860448,0.0,314.57933282852173,,,,,,,,,,,,,,,,5.192166295767306,7.211948753782066,23.12758953150264,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,1299.0,11.0,124.0,3040.0,0.0,58.3445587252122,58.3445587252122,0.0,323.3089425563812,,,,,,,,,,,,,,,,15.878022587110262,18.60511808294826,56.432116040450985,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,1363.0,12.0,64.0,3104.0,0.0,23.857485926836805,23.857485926836805,0.0,328.02434253692627,,,,,,,,,,,,,,,,5.4945589259597085,7.319646505663097,23.529363519094492,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,1482.0,13.0,119.0,3223.0,0.0,84.58704964817063,84.58704964817063,0.0,336.46816182136536,,,,,,,,,,,,,,,,32.281325418404236,26.81253342549602,80.82639832170223,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,1562.0,14.0,80.0,3303.0,0.0,48.45964845812939,48.45964845812939,0.0,342.2553207874298,,,,,,,,,,,,,,,,16.52181725604024,16.172616821271657,47.18508816581198,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,1630.0,15.0,68.0,3371.0,0.0,11.640091732019249,11.640091732019249,0.0,347.26704502105713,,,,,,,,,,,,,,,,1.630144051471655,2.9439532783684528,11.540782719238415,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,1695.0,16.0,65.0,3436.0,0.0,17.22945612044769,17.22945612044769,0.0,352.0468068122864,,,,,,,,,,,,,,,,3.088442536133419,4.791502274547313,17.04575310870774,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,1843.0,17.0,148.0,3584.0,0.0,70.6615221797518,70.6615221797518,0.0,362.3571171760559,,,,,,,,,,,,,,,,25.12036104174195,18.85818289120768,67.01071946503905,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,1929.0,18.0,86.0,3670.0,0.0,44.20613405693135,44.20613405693135,0.0,368.5536801815033,,,,,,,,,,,,,,,,12.98293397808835,14.387894945528426,43.13273446928498,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,1968.0,19.0,39.0,3709.0,0.0,10.667840122420163,10.667840122420163,0.0,371.61745834350586,,,,,,,,,,,,,,,,1.899443926545315,3.0269051653489867,10.604366175460363,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,2281.0,20.0,313.0,4022.0,0.0,115.14975952969324,115.14975952969324,0.0,393.19347643852234,,,,,,,,,,,,,,,,62.80010922019842,33.970602035442504,95.58891425802923,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,257.0,1.0,257.0,4279.0,0.0,143.42504513001984,143.42504513001984,0.0,535.8213880062103,,,,,,,,,,,,,,,,51.14514479152574,37.403491478951345,130.4111540726704,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,467.0,2.0,210.0,4489.0,0.0,141.03352206441662,141.03352206441662,0.0,550.3297064304352,,,,,,,,,,,,,,,,53.53448178766799,42.75961604840649,129.9212020910974,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,652.0,3.0,185.0,4674.0,0.0,54.86662771026322,54.86662771026322,0.0,563.3401350975037,,,,,,,,,,,,,,,,20.056194346990974,12.081049681906878,51.20743919526518,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,758.0,4.0,106.0,4780.0,0.0,54.59744599601843,54.59744599601843,0.0,570.8710148334503,,,,,,,,,,,,,,,,16.42158872956705,17.32673021052663,52.90966725794231,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,817.0,5.0,59.0,4839.0,0.0,18.109014343206013,18.109014343206013,0.0,575.2288682460785,,,,,,,,,,,,,,,,3.8864536020555924,5.341222553597331,17.89761119187661,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,890.0,6.0,73.0,4912.0,0.0,16.6671168201599,16.6671168201599,0.0,580.5090038776398,,,,,,,,,,,,,,,,3.3232791202985283,4.579227787910665,16.44095840278089,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,1138.0,7.0,248.0,5160.0,0.0,73.70980723444337,73.70980723444337,0.0,597.5437126159668,,,,,,,,,,,,,,,,29.069896416020747,15.586908975170038,66.56703996323351,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,1234.0,8.0,96.0,5256.0,0.0,16.22652656926148,16.22652656926148,0.0,604.4161455631256,,,,,,,,,,,,,,,,2.34922712959988,3.9304356465505226,16.017017782602498,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,1327.0,9.0,93.0,5349.0,0.0,51.15293869676758,51.15293869676758,0.0,611.0527956485748,,,,,,,,,,,,,,,,16.079851452500982,16.520674847624893,49.70721973141638,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,1383.0,10.0,56.0,5405.0,0.0,19.836813846850237,19.836813846850237,0.0,615.2236688137054,,,,,,,,,,,,,,,,4.583084158792985,6.083811536880549,19.599760894852686,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,1529.0,11.0,146.0,5551.0,0.0,57.22534312181484,57.22534312181484,0.0,625.4088296890259,,,,,,,,,,,,,,,,16.663118132287853,16.041880407758036,54.84737524975056,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,1596.0,12.0,67.0,5618.0,0.0,31.027277805973583,31.027277805973583,0.0,630.4478323459625,,,,,,,,,,,,,,,,8.049535222264586,9.955503410877661,30.518477423505363,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,1733.0,13.0,137.0,5755.0,0.0,43.38614163133625,43.38614163133625,0.0,640.2661786079407,,,,,,,,,,,,,,,,10.710732949100594,12.13095549264514,41.96073194925874,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,1840.0,14.0,107.0,5862.0,0.0,49.19958170574537,49.19958170574537,0.0,647.8304080963135,,,,,,,,,,,,,,,,16.195449719688934,15.14628584779911,47.51418276850719,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,1915.0,15.0,75.0,5937.0,0.0,13.053965002837565,13.053965002837565,0.0,653.2536420822144,,,,,,,,,,,,,,,,2.118108994593218,3.331617294110198,12.908014843086153,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,2155.0,16.0,240.0,6177.0,0.0,97.97871116034533,97.97871116034533,0.0,669.7716643810272,,,,,,,,,,,,,,,,37.051947868899695,27.538922380237544,89.17541909090026,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,2341.0,17.0,186.0,6363.0,0.0,101.65355765873075,101.65355765873075,0.0,682.6310112476349,,,,,,,,,,,,,,,,32.96492028330415,31.30874566187764,95.61770018622248,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,2444.0,18.0,103.0,6466.0,0.0,50.229914790131744,50.229914790131744,0.0,689.9242899417877,,,,,,,,,,,,,,,,14.213661716697505,15.834243877232945,48.81472235566758,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,2809.0,19.0,365.0,6831.0,0.0,154.39354655916281,154.39354655916281,0.0,714.7945249080658,,,,,,,,,,,,,,,,88.581505820136,41.01971268967513,122.62221675246701,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,2980.0,20.0,171.0,7002.0,0.0,105.15676396407136,105.15676396407136,0.0,726.6658999919891,,,,,,,,,,,,,,,,44.65361952506438,34.45733349799186,97.61861363892443,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,241.0,1.0,241.0,7243.0,0.0,141.19844854879156,141.19844854879156,0.0,906.6441204547882,,,,,,,,,,,,,,,,50.459603237779625,38.58373552306476,129.16685101950625,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,429.0,2.0,188.0,7431.0,0.0,93.14670291464255,93.14670291464255,0.0,919.6078009605408,,,,,,,,,,,,,,,,37.69710484822677,27.819223636502258,86.14579299617213,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,590.0,3.0,161.0,7592.0,0.0,110.37897569124058,110.37897569124058,0.0,931.099892616272,,,,,,,,,,,,,,,,41.697769599930496,34.631670163589554,103.76940418984167,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,690.0,4.0,100.0,7692.0,0.0,49.90948012235651,49.90948012235651,0.0,938.2511112689972,,,,,,,,,,,,,,,,17.357412533834907,15.29392816711136,48.22196082980282,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,779.0,5.0,89.0,7781.0,0.0,24.41419547941815,24.41419547941815,0.0,944.6566696166992,,,,,,,,,,,,,,,,5.067403300577428,6.8200766836964615,23.987183769436186,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,834.0,6.0,55.0,7836.0,0.0,12.681930378247415,12.681930378247415,0.0,948.8119852542877,,,,,,,,,,,,,,,,2.241511728208554,3.509158823356162,12.57121845164759,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,906.0,7.0,72.0,7908.0,0.0,20.256071778392492,20.256071778392492,0.0,954.0873737335205,,,,,,,,,,,,,,,,3.8979450944851175,5.7357003194187195,19.99541514673629,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,1075.0,8.0,169.0,8077.0,0.0,76.47713117734267,76.47713117734267,0.0,966.0734746456146,,,,,,,,,,,,,,,,29.570427497633787,24.42944125555118,71.55128021045306,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,1159.0,9.0,84.0,8161.0,0.0,44.86380741485977,44.86380741485977,0.0,972.1335914134979,,,,,,,,,,,,,,,,13.87588575592159,14.497568446895041,43.74197498634868,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,1222.0,10.0,63.0,8224.0,0.0,23.119843294136228,23.119843294136228,0.0,976.8010945320129,,,,,,,,,,,,,,,,5.291725601811102,7.08089799221063,22.809273855077198,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,1348.0,11.0,126.0,8350.0,0.0,92.0268301314173,92.0268301314173,0.0,985.7185387611389,,,,,,,,,,,,,,,,35.202283247510344,29.345143441489487,87.67902146369462,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,1423.0,12.0,75.0,8425.0,0.0,29.527358754642968,29.527358754642968,0.0,991.1733543872833,,,,,,,,,,,,,,,,6.698093340597028,8.885512541751522,29.054055809908093,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,1561.0,13.0,138.0,8563.0,0.0,97.36943002783073,97.36943002783073,0.0,1000.8683757781982,,,,,,,,,,,,,,,,36.843249240366696,31.025342113056045,92.37743907173183,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,1672.0,14.0,111.0,8674.0,0.0,54.484394852598555,54.484394852598555,0.0,1008.7285180091858,,,,,,,,,,,,,,,,16.02078125143196,17.6077398491463,52.758846980670285,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,1755.0,15.0,83.0,8757.0,0.0,17.763513298272763,17.763513298272763,0.0,1015.0696384906769,,,,,,,,,,,,,,,,3.161379283420797,4.758254700046077,17.518637455204047,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,1964.0,16.0,209.0,8966.0,0.0,98.03315507186477,98.03315507186477,0.0,1029.4861142635345,,,,,,,,,,,,,,,,45.927021063821826,29.32354097635064,88.52293060012633,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,2121.0,17.0,157.0,9123.0,0.0,89.68629111945579,89.68629111945579,0.0,1040.4375848770142,,,,,,,,,,,,,,,,33.68569667995169,26.227033168386974,84.48211885956297,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,2211.0,18.0,90.0,9213.0,0.0,52.446526848698234,52.446526848698234,0.0,1046.895622253418,,,,,,,,,,,,,,,,16.89417577087645,16.950117784921225,50.97702805737673,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,2295.0,19.0,84.0,9297.0,0.0,22.604793765387466,22.604793765387466,0.0,1053.2029631137848,,,,,,,,,,,,,,,,3.9427227771653772,6.310025300549401,22.295900953058645,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3.0,0.0,2615.0,20.0,320.0,9617.0,0.0,200.05214360137796,200.05214360137796,0.0,1075.113213300705,,,,,,,,,,,,,,,,84.93258637091968,56.09491727047482,173.04676272540885,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4.0,0.0,268.0,1.0,268.0,9885.0,0.0,158.66494063663117,158.66494063663117,0.0,1236.1081960201263,,,,,,,,,,,,,,,,54.749330960277995,43.35171413766816,144.13625619547227,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4.0,0.0,488.0,2.0,220.0,10105.0,0.0,121.14660955068956,121.14660955068956,0.0,1251.322475194931,,,,,,,,,,,,,,,,48.87951542431977,33.115250602059234,110.50361977711631,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4.0,0.0,670.0,3.0,182.0,10287.0,0.0,98.43174488640666,98.43174488640666,0.0,1263.9804677963257,,,,,,,,,,,,,,,,39.38228942942253,28.234266015479978,91.3555237339858,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4.0,0.0,773.0,4.0,103.0,10390.0,0.0,60.1397995046822,60.1397995046822,0.0,1271.2811028957367,,,,,,,,,,,,,,,,19.720828785444553,19.301755701878303,58.16672086064209,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4.0,0.0,824.0,5.0,51.0,10441.0,0.0,15.02865435134337,15.02865435134337,0.0,1275.1307396888733,,,,,,,,,,,,,,,,2.929400133587307,4.384607686946589,14.894149093624037,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4.0,0.0,896.0,6.0,72.0,10513.0,0.0,30.06571864966644,30.06571864966644,0.0,1280.4348056316376,,,,,,,,,,,,,,,,7.753789140663287,9.591611558596849,29.536982814353046,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4.0,0.0,1006.0,7.0,110.0,10623.0,0.0,37.647827397492485,37.647827397492485,0.0,1288.2411768436432,,,,,,,,,,,,,,,,8.876977638895356,10.962681221630776,36.70806792513912,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4.0,0.0,1154.0,8.0,148.0,10771.0,0.0,64.41791872055954,64.41791872055954,0.0,1298.6319017410278,,,,,,,,,,,,,,,,23.663887493057956,21.249190537412083,60.97664001159865,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4.0,0.0,1228.0,9.0,74.0,10845.0,0.0,27.74173894324403,27.74173894324403,0.0,1304.1971673965454,,,,,,,,,,,,,,,,6.85037855694786,8.660384315068319,27.262073003032924,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4.0,0.0,1317.0,10.0,89.0,10934.0,0.0,31.975094183221977,31.975094183221977,0.0,1310.6051094532013,,,,,,,,,,,,,,,,7.352975795819942,9.559310600454854,31.35203136876274,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
