Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,160.0,1.0,160.0,160.0,0.0,103.763305027451,103.763305027451,0.0,0.0,,,,,,,,,,,,,,,,38.49635427892499,32.25677707655046,97.70158993275578,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,281.0,2.0,121.0,281.0,0.0,30.25169480095932,30.25169480095932,0.0,8.542183876037598,,,,,,,,,,,,,,,,4.995570114969931,8.023368393238869,29.676907724772736,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,449.0,3.0,168.0,449.0,0.0,61.58048352595126,61.58048352595126,0.0,20.226821184158325,,,,,,,,,,,,,,,,21.478673777720292,14.363061912634373,58.03009642772192,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,527.0,4.0,78.0,527.0,0.0,39.13289723708523,39.13289723708523,0.0,25.943724870681763,,,,,,,,,,,,,,,,11.580922516967831,12.565225375743967,38.26785313389568,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,574.0,5.0,47.0,574.0,0.0,10.476065696636873,10.476065696636873,0.0,29.796553373336792,,,,,,,,,,,,,,,,1.5803074812807394,2.796127665448892,10.412203448465142,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,639.0,6.0,65.0,639.0,0.0,16.732702305219103,16.732702305219103,0.0,34.58438229560852,,,,,,,,,,,,,,,,3.4320301215096283,4.696279583659993,16.5261464938148,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,710.0,7.0,71.0,710.0,0.0,28.84693167766429,28.84693167766429,0.0,39.757725954055786,,,,,,,,,,,,,,,,7.701002041817389,8.826960654980478,28.328489021716965,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,796.0,8.0,86.0,796.0,0.0,20.26168665857233,20.26168665857233,0.0,45.93490648269653,,,,,,,,,,,,,,,,3.6879855469352596,5.531573835742044,19.964484385921818,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,875.0,9.0,79.0,875.0,0.0,35.97120851923281,35.97120851923281,0.0,51.65353965759277,,,,,,,,,,,,,,,,9.811257792047503,11.332400571485458,35.23135050416527,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,958.0,10.0,83.0,958.0,0.0,28.8848365575442,28.8848365575442,0.0,57.622376680374146,,,,,,,,,,,,,,,,6.759745837870845,8.608025033216032,28.352129782783717,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,1061.0,11.0,103.0,1061.0,0.0,42.9605478317659,42.9605478317659,0.0,64.91881155967712,,,,,,,,,,,,,,,,11.009322951643595,13.114541723427605,41.86845602377034,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,1128.0,12.0,67.0,1128.0,0.0,33.0165999548679,33.0165999548679,0.0,69.80993247032166,,,,,,,,,,,,,,,,9.389073654329035,10.609307072609527,32.419951971999886,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,1228.0,13.0,100.0,1228.0,0.0,25.877764596329317,25.877764596329317,0.0,76.93627309799194,,,,,,,,,,,,,,,,4.646519073878678,7.020777978891151,25.438551240181635,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,1331.0,14.0,103.0,1331.0,0.0,51.456880349872144,51.456880349872144,0.0,84.29324626922607,,,,,,,,,,,,,,,,17.396267610013833,15.9147497986365,49.714779565606314,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,1383.0,15.0,52.0,1383.0,0.0,10.588828265770777,10.588828265770777,0.0,88.43254899978638,,,,,,,,,,,,,,,,1.86484585796164,2.9200338766029907,10.502358639796576,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,1444.0,16.0,61.0,1444.0,0.0,15.644858105014436,15.644858105014436,0.0,92.99869179725647,,,,,,,,,,,,,,,,2.8751696286899477,4.339509512615342,15.484957715379728,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,1540.0,17.0,96.0,1540.0,0.0,48.74944261811888,48.74944261811888,0.0,99.84918546676636,,,,,,,,,,,,,,,,14.453643688503796,15.766998633651697,47.40930212614869,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,1618.0,18.0,78.0,1618.0,0.0,29.923935755021184,29.923935755021184,0.0,105.51604962348938,,,,,,,,,,,,,,,,7.9079083353460895,8.865243677210184,29.33645536022441,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,1658.0,19.0,40.0,1658.0,0.0,10.35588439455499,10.35588439455499,0.0,108.63020658493042,,,,,,,,,,,,,,,,1.9917123318236514,2.9651775225503285,10.28650240368573,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,1741.0,20.0,83.0,1741.0,0.0,13.423398009160522,13.423398009160522,0.0,114.59043574333191,,,,,,,,,,,,,,,,1.8632720437768688,3.290444983271656,13.28202845798503,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,123.0,1.0,123.0,1864.0,0.0,58.05563442283008,58.05563442283008,0.0,239.7985396385193,,,,,,,,,,,,,,,,15.290083443174613,18.498025469650983,56.23118534466425,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,375.0,2.0,252.0,2116.0,0.0,72.67286705562447,72.67286705562447,0.0,257.122642993927,,,,,,,,,,,,,,,,21.304172506315503,16.959404855127392,67.3715871712042,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
