Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
19,0.0,0.0,14830.0,19.0,54.0,14830.0,0.0,15.699740890382284,15.699740890382284,0.0,935.4025573730469,,,,,,,,,,,,,,,,2.9719515692060434,4.488344604622877,15.554810315961113,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,15392.0,20.0,562.0,15392.0,0.0,531.8823720201141,531.8823720201141,0.0,973.5314035415649,,,,,,,,,,,,,,,,221.47529545372566,124.24935065683249,407.82107705217294,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,259.0,1.0,259.0,15651.0,0.0,111.60907777526486,111.60907777526486,0.0,1816.9398922920227,,,,,,,,,,,,,,,,34.25605863906322,27.78460442755023,102.83959818593345,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,1250.0,2.0,991.0,16642.0,0.0,1093.7716183988102,1093.7716183988102,0.0,1884.0130248069763,,,,,,,,,,,,,,,,441.02453520202937,185.45106577908055,657.3736776912899,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,1588.0,3.0,338.0,16980.0,0.0,240.35074202806493,240.35074202806493,0.0,1906.8458659648895,,,,,,,,,,,,,,,,97.20241997938766,67.35738696646729,207.70402810313502,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,2585.0,4.0,997.0,17977.0,0.0,1103.2835162948493,1103.2835162948493,0.0,1974.6910688877106,,,,,,,,,,,,,,,,445.2946376456064,184.73488839517182,659.9847473094899,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,2663.0,5.0,78.0,18055.0,0.0,16.620130307052804,16.620130307052804,0.0,1979.9814870357513,,,,,,,,,,,,,,,,2.7051659744926217,4.404330658471762,16.425552913956334,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,3666.0,6.0,1003.0,19058.0,0.0,999.3864132187006,999.3864132187006,0.0,2047.87326669693,,,,,,,,,,,,,,,,383.58486038508846,198.44861507022102,615.2660643167737,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,4651.0,7.0,985.0,20043.0,0.0,1029.4277851183404,1029.4277851183404,0.0,2114.4732489585876,,,,,,,,,,,,,,,,381.64204826204514,204.97752862179453,654.1645321123376,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,5651.0,8.0,1000.0,21043.0,0.0,1162.1813105974397,1162.1813105974397,0.0,2181.8850226402283,,,,,,,,,,,,,,,,457.06437002092616,201.6201912377047,705.8227633398536,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
