Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,783.0,1.0,783.0,783.0,0.0,1068.813935424169,1068.813935424169,0.0,0.0,,,,,,,,,,,,,,,,437.00647787031687,240.4589794892344,727.3652284801913,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,1016.0,2.0,233.0,1016.0,0.0,244.23398494328185,244.23398494328185,0.0,15.797624826431274,,,,,,,,,,,,,,,,104.15424354594204,71.85972948370464,220.18623242950696,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,2038.0,3.0,1022.0,2038.0,0.0,1545.5713134312387,1545.5713134312387,0.0,84.98124432563782,,,,,,,,,,,,,,,,601.2359231318848,260.2899729351161,932.0402402306829,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,2190.0,4.0,152.0,2190.0,0.0,150.92500627187678,150.92500627187678,0.0,95.35163736343384,,,,,,,,,,,,,,,,60.29014232732078,47.153562411296235,141.90280744556952,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,3194.0,5.0,1004.0,3194.0,0.0,1484.9693964976316,1484.9693964976316,0.0,163.60423922538757,,,,,,,,,,,,,,,,613.6863280688709,245.13689028765597,876.7018193696787,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,4194.0,6.0,1000.0,4194.0,0.0,1454.858342359683,1454.858342359683,0.0,230.93077564239502,,,,,,,,,,,,,,,,585.3887144933533,235.26501110447828,870.3399678341632,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,5198.0,7.0,1004.0,5198.0,0.0,1644.8182721574003,1644.8182721574003,0.0,298.5475118160248,,,,,,,,,,,,,,,,649.1887279467887,285.1785611763347,994.2145817165393,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,6336.0,8.0,1138.0,6336.0,0.0,1807.2302013917401,1807.2302013917401,0.0,375.58085918426514,,,,,,,,,,,,,,,,695.9520944927057,284.3473530678947,1016.2529708298673,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,7248.0,9.0,912.0,7248.0,0.0,1294.0699877355419,1294.0699877355419,0.0,437.06293511390686,,,,,,,,,,,,,,,,521.1334922860933,242.83789440885116,819.615858629253,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,7706.0,10.0,458.0,7706.0,0.0,500.4953391018468,500.4953391018468,0.0,468.2147467136383,,,,,,,,,,,,,,,,208.29978598901013,132.964371605315,405.4995366555361,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,8716.0,11.0,1010.0,8716.0,0.0,1555.8806943354552,1555.8806943354552,0.0,536.3117361068726,,,,,,,,,,,,,,,,619.2053852200157,264.15247745557076,931.414669933175,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
